     0;           1;           1;           0
     1;           2;           3;           1
     2;           5;           6;           3
     3;          12;          10;           6
     4;          27;          15;          10
     5;          58;          21;          15
     6;         121;          28;          21
     7;         248;          36;          28
     8;         503;          45;          36
     9;        1014;          55;          45
    10;        2037;          66;          55
    11;        4084;          78;          66
    12;        8179;          91;          78
    13;       16370;         105;          91
    14;       32753;         120;         105
    15;       65520;         136;         120
    16;      131055;         153;         136
    17;      262126;         171;         153
    18;      524269;         190;         171
    19;     1048556;         210;         190
    20;     2097131;         231;         210
    21;     4194282;         253;         231
    22;     8388585;         276;         253
    23;    16777192;         300;         276
    24;    33554407;         325;         300
    25;    67108838;         351;         325
    26;   134217701;         378;         351
    27;   268435428;         406;         378
    28;   536870883;         435;         406
    29;  1073741794;         465;         435
    30;  2147483617;         496;         465
    31;  4294967264;         528;         496
    32;  8589934559;         561;         528
